,Group,Dist
7,Cactus Virus X,0.069306931
8,Cactus Virus X,0.062706271
9,Cactus Virus X,0.059405941
10,Cactus Virus X,0.059405941
11,Cactus Virus X,0.059405941
12,Cactus Virus X,0.059405941
13,Cactus Virus X,0.059405941
14,Cactus Virus X,0.059405941
15,Cactus Virus X,0.069306931
16,Cactus Virus X,0.059405941
17,Cactus Virus X,0.059405941
18,Cactus Virus X,0.059405941
19,Cactus Virus X,0.115511551
20,Cactus Virus X,0.059405941
21,Cactus Virus X,0.059405941
22,Cactus Virus X,0.059405941
23,Cactus Virus X,0.059405941
24,Cactus Virus X,0.059405941
25,Cactus Virus X,0.059405941
26,Cactus Virus X,0.059405941
27,Cactus Virus X,0.059405941
28,Cactus Virus X,0.059405941
29,Cactus Virus X,0.059405941
30,Cactus Virus X,0.00990099
31,Cactus Virus X,0.066006601
32,Cactus Virus X,0.066006601
33,Cactus Virus X,0.069306931
34,Cactus Virus X,0.069306931
35,Cactus Virus X,0.062706271
36,Cactus Virus X,0.059405941
37,Cactus Virus X,0.059405941
38,Cactus Virus X,0.059405941
39,Cactus Virus X,0.059405941
40,Cactus Virus X,0.059405941
41,Cactus Virus X,0.059405941
42,Cactus Virus X,0.062706271
43,Cactus Virus X,0.059405941
44,Cactus Virus X,0.059405941
45,Cactus Virus X,0.059405941
46,Cactus Virus X,0.108910891
47,Cactus Virus X,0.059405941
48,Cactus Virus X,0.059405941
49,Cactus Virus X,0.059405941
50,Cactus Virus X,0.059405941
51,Cactus Virus X,0.059405941
52,Cactus Virus X,0.059405941
53,Cactus Virus X,0.059405941
54,Cactus Virus X,0.059405941
55,Cactus Virus X,0.059405941
56,Cactus Virus X,0.059405941
57,Cactus Virus X,0.062706271
58,Cactus Virus X,0.062706271
59,Cactus Virus X,0.066006601
60,Cactus Virus X,0.066006601
61,Cactus Virus X,0.059405941
62,Cactus Virus X,0.056105611
63,Cactus Virus X,0.056105611
64,Cactus Virus X,0.056105611
65,Cactus Virus X,0.056105611
66,Cactus Virus X,0.056105611
67,Cactus Virus X,0.056105611
68,Cactus Virus X,0.066006601
69,Cactus Virus X,0.056105611
70,Cactus Virus X,0.056105611
71,Cactus Virus X,0.056105611
72,Cactus Virus X,0.112211221
73,Cactus Virus X,0.056105611
74,Cactus Virus X,0.056105611
75,Cactus Virus X,0.056105611
76,Cactus Virus X,0.056105611
77,Cactus Virus X,0.056105611
78,Cactus Virus X,0.056105611
79,Cactus Virus X,0.056105611
80,Cactus Virus X,0.056105611
81,Cactus Virus X,0.056105611
82,Cactus Virus X,0.056105611
83,Cactus Virus X,0.00330033
84,Cactus Virus X,0.00330033
85,Cactus Virus X,0.00990099
86,Cactus Virus X,0.00660066
87,Cactus Virus X,0.00660066
88,Cactus Virus X,0.00660066
89,Cactus Virus X,0.00660066
90,Cactus Virus X,0.00660066
91,Cactus Virus X,0.00660066
92,Cactus Virus X,0.02970297
93,Cactus Virus X,0.00660066
94,Cactus Virus X,0.00660066
95,Cactus Virus X,0.00660066
96,Cactus Virus X,0.075907591
97,Cactus Virus X,0.00660066
98,Cactus Virus X,0.00660066
99,Cactus Virus X,0.00660066
100,Cactus Virus X,0.00660066
101,Cactus Virus X,0.00660066
102,Cactus Virus X,0.00660066
103,Cactus Virus X,0.00660066
104,Cactus Virus X,0.00660066
105,Cactus Virus X,0.00660066
106,Cactus Virus X,0.00660066
107,Cactus Virus X,0.00330033
108,Cactus Virus X,0.00330033
109,Cactus Virus X,0.00990099
110,Cactus Virus X,0.00660066
111,Cactus Virus X,0.00660066
112,Cactus Virus X,0.00660066
113,Cactus Virus X,0.00660066
114,Cactus Virus X,0.00660066
115,Cactus Virus X,0.00660066
116,Cactus Virus X,0.02970297
117,Cactus Virus X,0.00660066
118,Cactus Virus X,0.00660066
119,Cactus Virus X,0.00660066
120,Cactus Virus X,0.075907591
121,Cactus Virus X,0.00660066
122,Cactus Virus X,0.00660066
123,Cactus Virus X,0.00660066
124,Cactus Virus X,0.00660066
125,Cactus Virus X,0.00660066
126,Cactus Virus X,0.00660066
127,Cactus Virus X,0.00660066
128,Cactus Virus X,0.00660066
129,Cactus Virus X,0.00660066
130,Cactus Virus X,0.00660066
131,Cactus Virus X,0.01320132
132,Cactus Virus X,0.00990099
133,Cactus Virus X,0.00990099
134,Cactus Virus X,0.00990099
135,Cactus Virus X,0.00990099
136,Cactus Virus X,0.00990099
137,Cactus Virus X,0.00990099
138,Cactus Virus X,0.0330033
139,Cactus Virus X,0.00990099
140,Cactus Virus X,0.00990099
141,Cactus Virus X,0.00990099
142,Cactus Virus X,0.079207921
143,Cactus Virus X,0.00990099
144,Cactus Virus X,0.00990099
145,Cactus Virus X,0.00990099
146,Cactus Virus X,0.00990099
147,Cactus Virus X,0.00990099
148,Cactus Virus X,0.00990099
149,Cactus Virus X,0.00990099
150,Cactus Virus X,0.00990099
151,Cactus Virus X,0.00990099
152,Cactus Virus X,0.00990099
153,Cactus Virus X,0.01320132
154,Cactus Virus X,0.00990099
155,Cactus Virus X,0.00990099
156,Cactus Virus X,0.00990099
157,Cactus Virus X,0.00990099
158,Cactus Virus X,0.00990099
159,Cactus Virus X,0.00990099
160,Cactus Virus X,0.0330033
161,Cactus Virus X,0.00990099
162,Cactus Virus X,0.00990099
163,Cactus Virus X,0.00990099
164,Cactus Virus X,0.079207921
165,Cactus Virus X,0.00990099
166,Cactus Virus X,0.00990099
167,Cactus Virus X,0.00990099
168,Cactus Virus X,0.00990099
169,Cactus Virus X,0.00990099
170,Cactus Virus X,0.00990099
171,Cactus Virus X,0.00990099
172,Cactus Virus X,0.00990099
173,Cactus Virus X,0.00990099
174,Cactus Virus X,0.00990099
175,Cactus Virus X,0.00330033
176,Cactus Virus X,0.00330033
177,Cactus Virus X,0.00330033
178,Cactus Virus X,0.00330033
179,Cactus Virus X,0.00330033
180,Cactus Virus X,0.00330033
181,Cactus Virus X,0.02640264
182,Cactus Virus X,0.00330033
183,Cactus Virus X,0.00330033
184,Cactus Virus X,0.00330033
185,Cactus Virus X,0.072607261
186,Cactus Virus X,0.00330033
187,Cactus Virus X,0.00330033
188,Cactus Virus X,0.00330033
189,Cactus Virus X,0.00330033
190,Cactus Virus X,0.00330033
191,Cactus Virus X,0.00330033
192,Cactus Virus X,0.00330033
193,Cactus Virus X,0.00330033
194,Cactus Virus X,0.00330033
195,Cactus Virus X,0.00330033
196,Cactus Virus X,0.02310231
197,Cactus Virus X,0.069306931
198,Cactus Virus X,0.02310231
199,Cactus Virus X,0.069306931
200,Cactus Virus X,0.02310231
201,Cactus Virus X,0.069306931
202,Cactus Virus X,0.02310231
203,Cactus Virus X,0.069306931
204,Cactus Virus X,0.02310231
205,Cactus Virus X,0.069306931
206,Cactus Virus X,0.02310231
207,Cactus Virus X,0.069306931
208,Cactus Virus X,0.02310231
209,Cactus Virus X,0.02310231
210,Cactus Virus X,0.02310231
211,Cactus Virus X,0.085808581
212,Cactus Virus X,0.02310231
213,Cactus Virus X,0.02310231
214,Cactus Virus X,0.02310231
215,Cactus Virus X,0.02310231
216,Cactus Virus X,0.02310231
217,Cactus Virus X,0.02310231
218,Cactus Virus X,0.02310231
219,Cactus Virus X,0.02310231
220,Cactus Virus X,0.02310231
221,Cactus Virus X,0.02310231
222,Cactus Virus X,0.069306931
223,Cactus Virus X,0.069306931
224,Cactus Virus X,0.069306931
225,Cactus Virus X,0.069306931
226,Cactus Virus X,0.069306931
227,Cactus Virus X,0.069306931
228,Cactus Virus X,0.069306931
229,Cactus Virus X,0.069306931
230,Cactus Virus X,0.069306931
231,Cactus Virus X,0.069306931
232,Cactus Virus X,0.069306931
233,Cactus Virus X,0.069306931
234,Cactus Virus X,0.069306931
