,Group,Dist
275,Cactus Virus X Variant A,0.007928642
276,Cactus Virus X Variant A,0.00099108
277,Cactus Virus X Variant A,0.006937562
278,Cactus Virus X Variant B,0.005946482
279,Cactus Virus X Variant B,0.009910803
280,Cactus Virus X Variant B,0.004955401
281,Cactus Virus X Variant B,0.011892963
282,Cactus Virus X Variant B,0.006937562
283,Cactus Virus X Variant B,0.006937562
284,Pitaya Virus X,0.002973241
285,Pitaya Virus X,0.007928642
286,Pitaya Virus X,0.004955401
287,Pitaya Virus X,0.007928642
288,Pitaya Virus X,0.002973241
289,Pitaya Virus X,0.002973241
290,Pitaya Virus X,0.004955401
291,Pitaya Virus X,0.002973241
292,Pitaya Virus X,0.003964321
293,Pitaya Virus X,0.005946482
294,Pitaya Virus X,0.002973241
295,Pitaya Virus X,0.002973241
296,Pitaya Virus X,0.003964321
297,Pitaya Virus X,0.009910803
298,Pitaya Virus X,0.002973241
299,Pitaya Virus X,0.007928642
300,Pitaya Virus X,0.004955401
301,Pitaya Virus X,0.007928642
302,Pitaya Virus X,0.002973241
303,Pitaya Virus X,0.002973241
304,Pitaya Virus X,0.004955401
305,Pitaya Virus X,0.002973241
306,Pitaya Virus X,0.003964321
307,Pitaya Virus X,0.005946482
308,Pitaya Virus X,0.002973241
309,Pitaya Virus X,0.002973241
310,Pitaya Virus X,0.003964321
311,Pitaya Virus X,0.009910803
312,Pitaya Virus X,0.002973241
313,Pitaya Virus X,0.007928642
314,Pitaya Virus X,0.004955401
315,Pitaya Virus X,0.007928642
316,Pitaya Virus X,0.002973241
317,Pitaya Virus X,0.002973241
318,Pitaya Virus X,0.004955401
319,Pitaya Virus X,0.002973241
320,Pitaya Virus X,0.003964321
321,Pitaya Virus X,0.005946482
322,Pitaya Virus X,0.002973241
323,Pitaya Virus X,0.002973241
324,Pitaya Virus X,0.003964321
325,Pitaya Virus X,0.009910803
326,Pitaya Virus X,0.004955401
327,Pitaya Virus X,0.002973241
328,Pitaya Virus X,0.001982161
329,Pitaya Virus X,0.002973241
330,Pitaya Virus X,0.004955401
331,Pitaya Virus X,0.001982161
332,Pitaya Virus X,0.00099108
333,Pitaya Virus X,0.002973241
334,Pitaya Virus X,0.00099108
335,Pitaya Virus X,0.006937562
336,Pitaya Virus X,0.007928642
337,Pitaya Virus X,0.006937562
338,Pitaya Virus X,0.007928642
339,Pitaya Virus X,0.004955401
340,Pitaya Virus X,0.004955401
341,Pitaya Virus X,0.006937562
342,Pitaya Virus X,0.004955401
343,Pitaya Virus X,0.005946482
344,Pitaya Virus X,0.007928642
345,Pitaya Virus X,0.004955401
346,Pitaya Virus X,0.004955401
347,Pitaya Virus X,0.005946482
348,Pitaya Virus X,0.011892963
349,Pitaya Virus X,0.004955401
350,Pitaya Virus X,0.007928642
351,Pitaya Virus X,0.002973241
352,Pitaya Virus X,0.002973241
353,Pitaya Virus X,0.004955401
354,Pitaya Virus X,0.002973241
355,Pitaya Virus X,0.003964321
356,Pitaya Virus X,0.005946482
357,Pitaya Virus X,0.002973241
358,Pitaya Virus X,0.002973241
359,Pitaya Virus X,0.003964321
360,Pitaya Virus X,0.009910803
361,Pitaya Virus X,0.004955401
362,Pitaya Virus X,0.006937562
363,Pitaya Virus X,0.001982161
364,Pitaya Virus X,0.001982161
365,Pitaya Virus X,0.001982161
366,Pitaya Virus X,0.002973241
367,Pitaya Virus X,0.004955401
368,Pitaya Virus X,0.001982161
369,Pitaya Virus X,0.001982161
370,Pitaya Virus X,0.002973241
371,Pitaya Virus X,0.008919722
372,Pitaya Virus X,0.007928642
373,Pitaya Virus X,0.002973241
374,Pitaya Virus X,0.002973241
375,Pitaya Virus X,0.004955401
376,Pitaya Virus X,0.002973241
377,Pitaya Virus X,0.003964321
378,Pitaya Virus X,0.005946482
379,Pitaya Virus X,0.002973241
